Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,462,9,0,0,0.9809,0.9809,1.0,0.9904
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,471,0,0,0,1.0,1.0,1.0,1.0
BUMI,441,5,8,17,0.9724,0.9888,0.9822,0.9855
DEWA,211,19,72,169,0.8068,0.9174,0.7456,0.8226
DOID,381,11,28,51,0.9172,0.9719,0.9315,0.9513
ELSA,436,35,0,0,0.9257,0.9257,1.0,0.9614
ENRG,354,6,38,73,0.9066,0.9833,0.9031,0.9415
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,461,6,1,3,0.9851,0.9872,0.9978,0.9925
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,452,19,0,0,0.9597,0.9597,1.0,0.9794
MEDC,471,0,0,0,1.0,1.0,1.0,1.0
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,458,3,4,6,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,389,8,30,44,0.9193,0.9798,0.9284,0.9534
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
