Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,452,18,1,0,0.9597,0.9617,0.9978,0.9794
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,440,6,8,17,0.9703,0.9865,0.9821,0.9843
BUMI,441,5,8,17,0.9724,0.9888,0.9822,0.9855
DEWA,188,3,84,196,0.8153,0.9843,0.6912,0.8121
DOID,301,20,53,97,0.845,0.9377,0.8503,0.8919
ELSA,453,18,0,0,0.9618,0.9618,1.0,0.9805
ENRG,339,6,41,85,0.9002,0.9826,0.8921,0.9352
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,436,7,9,19,0.966,0.9842,0.9798,0.982
ITMA,130,46,89,206,0.7134,0.7386,0.5936,0.6582
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,433,7,9,22,0.966,0.9841,0.9796,0.9819
MEDC,449,22,0,0,0.9533,0.9533,1.0,0.9761
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,468,3,0,0,0.9936,0.9936,1.0,0.9968
SOCI,457,3,4,7,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,362,3,40,66,0.9087,0.9918,0.9005,0.9439
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,464,7,0,0,0.9851,0.9851,1.0,0.9925
