Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,459,12,0,0,0.9745,0.9745,1.0,0.9871
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,440,6,8,17,0.9703,0.9865,0.9821,0.9843
BUMI,459,3,2,7,0.9894,0.9935,0.9957,0.9946
DEWA,260,19,60,132,0.8323,0.9319,0.8125,0.8681
DOID,377,11,30,53,0.913,0.9716,0.9263,0.9484
ELSA,454,17,0,0,0.9639,0.9639,1.0,0.9816
ENRG,357,3,38,73,0.913,0.9917,0.9038,0.9457
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,401,10,15,45,0.9469,0.9757,0.9639,0.9698
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,446,19,1,5,0.9575,0.9591,0.9978,0.9781
MEDC,468,3,0,0,0.9936,0.9936,1.0,0.9968
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,457,3,4,7,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,386,3,31,51,0.9278,0.9923,0.9257,0.9578
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
