Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,445,6,5,15,0.9766,0.9867,0.9889,0.9878
AKRA,385,29,22,35,0.8917,0.93,0.9459,0.9379
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,442,10,6,13,0.966,0.9779,0.9866,0.9822
BUMI,450,7,4,10,0.9766,0.9847,0.9912,0.9879
DEWA,188,3,84,196,0.8153,0.9843,0.6912,0.8121
DOID,291,12,62,106,0.8429,0.9604,0.8244,0.8872
ELSA,435,36,0,0,0.9236,0.9236,1.0,0.9603
ENRG,346,9,40,76,0.896,0.9746,0.8964,0.9339
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,448,8,4,11,0.9745,0.9825,0.9912,0.9868
ITMA,200,32,75,164,0.7728,0.8621,0.7273,0.789
ITMG,459,12,0,0,0.9745,0.9745,1.0,0.9871
KKGI,452,9,4,6,0.9724,0.9805,0.9912,0.9858
MBSS,440,4,7,20,0.9766,0.991,0.9843,0.9877
MEDC,447,24,0,0,0.949,0.949,1.0,0.9739
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,467,3,1,0,0.9915,0.9936,0.9979,0.9957
SOCI,447,13,4,7,0.9639,0.9717,0.9911,0.9813
TCPI,469,1,1,0,0.9958,0.9979,0.9979,0.9979
TEBE,361,7,38,65,0.9045,0.981,0.9048,0.9413
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,468,3,0,0,0.9936,0.9936,1.0,0.9968
