Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,462,9,0,0,0.9809,0.9809,1.0,0.9904
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,463,3,2,3,0.9894,0.9936,0.9957,0.9946
BUMI,450,7,4,10,0.9766,0.9847,0.9912,0.9879
DEWA,246,24,64,137,0.8132,0.9111,0.7935,0.8483
DOID,390,14,24,43,0.9193,0.9653,0.942,0.9535
ELSA,445,26,0,0,0.9448,0.9448,1.0,0.9716
ENRG,357,3,38,73,0.913,0.9917,0.9038,0.9457
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,408,8,13,42,0.9554,0.9808,0.9691,0.9749
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,447,19,1,4,0.9575,0.9592,0.9978,0.9781
MEDC,468,3,0,0,0.9936,0.9936,1.0,0.9968
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,458,6,3,4,0.9809,0.9871,0.9935,0.9903
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,387,3,31,50,0.9278,0.9923,0.9258,0.9579
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
