Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,110,21,108,232,0.7261,0.8397,0.5046,0.6304
AKRA,33,8,153,277,0.6582,0.8049,0.1774,0.2907
APEX,391,3,29,48,0.9321,0.9924,0.931,0.9607
ARII,395,31,20,25,0.8917,0.9272,0.9518,0.9394
BULL,224,10,106,131,0.7537,0.9573,0.6788,0.7943
BUMI,272,20,55,124,0.8408,0.9315,0.8318,0.8788
DEWA,105,22,117,227,0.7049,0.8268,0.473,0.6017
DOID,122,14,116,219,0.724,0.8971,0.5126,0.6524
ELSA,101,26,133,211,0.6624,0.7953,0.4316,0.5596
ENRG,182,26,92,171,0.7495,0.875,0.6642,0.7552
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,210,3,89,169,0.8047,0.9859,0.7023,0.8203
INDY,308,18,47,98,0.862,0.9448,0.8676,0.9046
ITMA,25,4,145,295,0.6823,0.8621,0.1471,0.2513
ITMG,155,32,83,201,0.7558,0.8289,0.6513,0.7294
KKGI,245,22,75,129,0.7941,0.9176,0.7656,0.8348
MBSS,31,15,168,257,0.6115,0.6739,0.1558,0.2531
MEDC,130,18,112,211,0.724,0.8784,0.5372,0.6667
PGAS,50,3,139,279,0.6985,0.9434,0.2646,0.4132
PTBA,266,27,76,102,0.7813,0.9078,0.7778,0.8378
RUIS,134,18,124,195,0.6985,0.8816,0.5194,0.6537
SOCI,115,35,142,179,0.6242,0.7667,0.4475,0.5651
TCPI,170,54,94,153,0.6858,0.7589,0.6439,0.6967
TEBE,93,6,182,190,0.6008,0.9394,0.3382,0.4973
TPMA,234,25,117,95,0.6985,0.9035,0.6667,0.7672
WINS,260,21,76,114,0.7941,0.9253,0.7738,0.8428
