Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,468,3,0,0,0.9936,0.9936,1.0,0.9968
BBHI,152,3,128,186,0.7207,0.9806,0.5429,0.6989
BBMD,93,33,205,138,0.4925,0.7381,0.3121,0.4387
BBTN,135,44,96,195,0.7021,0.7542,0.5844,0.6585
BDMN,149,49,118,154,0.6447,0.7525,0.5581,0.6409
BINA,81,17,196,176,0.5468,0.8265,0.2924,0.432
BJBR,63,3,213,190,0.5394,0.9545,0.2283,0.3684
BJTM,44,20,245,161,0.4362,0.6875,0.1522,0.2493
BNGA,38,25,153,253,0.6205,0.6032,0.199,0.2992
BNII,83,17,203,166,0.5309,0.83,0.2902,0.4301
BRIS,1,3,163,303,0.6468,0.25,0.0061,0.0119
BSIM,215,64,108,84,0.6348,0.7706,0.6656,0.7143
BTPN,35,1,193,241,0.5872,0.9722,0.1535,0.2652
BVIC,150,42,128,149,0.6375,0.7812,0.5396,0.6383
INPC,4,8,205,254,0.5478,0.3333,0.0191,0.0362
MEGA,165,3,129,173,0.7191,0.9821,0.5612,0.7143
NISP,2,12,183,272,0.5842,0.1429,0.0108,0.0201
PNBN,167,21,95,186,0.7527,0.8883,0.6374,0.7422
