Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,441,14,5,11,0.9597,0.9692,0.9888,0.9789
BBHI,109,6,141,213,0.6866,0.9478,0.436,0.5973
BBMD,66,23,216,164,0.4904,0.7416,0.234,0.3558
BBTN,53,40,127,250,0.6447,0.5699,0.2944,0.3883
BDMN,25,16,177,252,0.5894,0.6098,0.1238,0.2058
BINA,58,17,211,184,0.5149,0.7733,0.2156,0.3372
BJBR,7,9,237,216,0.4755,0.4375,0.0287,0.0538
BJTM,36,9,256,169,0.4362,0.8,0.1233,0.2136
BNGA,24,13,162,270,0.6269,0.6486,0.129,0.2152
BNII,43,7,227,194,0.5032,0.86,0.1593,0.2687
BRIS,1,3,163,303,0.6468,0.25,0.0061,0.0119
BSIM,111,64,154,142,0.5372,0.6343,0.4189,0.5045
BTPN,37,1,192,241,0.5902,0.9737,0.1616,0.2772
BVIC,128,30,145,167,0.6277,0.8101,0.4689,0.594
INPC,1,6,206,258,0.5499,0.1429,0.0048,0.0093
MEGA,91,24,156,200,0.6178,0.7913,0.3684,0.5028
NISP,0,0,191,278,0.5928,0.0,0.0,0.0
PNBN,167,21,91,190,0.7612,0.8883,0.6473,0.7489
