Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,402,14,20,35,0.9278,0.9663,0.9526,0.9594
BBHI,91,5,150,223,0.6695,0.9479,0.3776,0.5401
BBMD,55,22,225,167,0.4733,0.7143,0.1964,0.3081
BBTN,25,26,142,276,0.6418,0.4902,0.1497,0.2294
BDMN,15,16,179,259,0.5842,0.4839,0.0773,0.1333
BINA,77,8,206,179,0.5447,0.9059,0.2721,0.4185
BJBR,7,9,237,216,0.4755,0.4375,0.0287,0.0538
BJTM,2,4,295,170,0.3652,0.3333,0.0067,0.0132
BNGA,20,14,164,271,0.6205,0.5882,0.1087,0.1835
BNII,43,13,224,191,0.4968,0.7679,0.161,0.2663
BRIS,0,3,163,304,0.6468,0.0,0.0,0.0
BSIM,112,60,158,141,0.5372,0.6512,0.4148,0.5068
BTPN,38,1,191,241,0.5924,0.9744,0.1659,0.2836
BVIC,124,20,144,182,0.6511,0.8611,0.4627,0.6019
INPC,4,4,206,257,0.5541,0.5,0.019,0.0367
MEGA,32,16,195,227,0.5511,0.6667,0.141,0.2327
NISP,0,0,191,278,0.5928,0.0,0.0,0.0
PNBN,119,33,99,218,0.7186,0.7829,0.5459,0.6432
