Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,376,18,33,44,0.8917,0.9543,0.9193,0.9365
BBHI,84,10,152,223,0.6546,0.8936,0.3559,0.5091
BBMD,44,20,234,171,0.4584,0.6875,0.1583,0.2573
BBTN,25,26,142,276,0.6418,0.4902,0.1497,0.2294
BDMN,9,8,182,270,0.5949,0.5294,0.0471,0.0865
BINA,13,3,238,215,0.4861,0.8125,0.0518,0.0974
BJBR,7,9,237,216,0.4755,0.4375,0.0287,0.0538
BJTM,1,4,295,171,0.3652,0.2,0.0034,0.0066
BNGA,10,18,167,274,0.6055,0.3571,0.0565,0.0976
BNII,31,14,231,195,0.4798,0.6889,0.1183,0.202
BRIS,0,3,163,304,0.6468,0.0,0.0,0.0
BSIM,45,45,207,173,0.4638,0.5,0.1786,0.2632
BTPN,9,2,208,252,0.5541,0.8182,0.0415,0.0789
BVIC,87,21,163,199,0.6085,0.8056,0.348,0.486
INPC,4,4,206,257,0.5541,0.5,0.019,0.0367
MEGA,30,12,195,233,0.5596,0.7143,0.1333,0.2247
NISP,0,0,191,278,0.5928,0.0,0.0,0.0
PNBN,119,33,99,218,0.7186,0.7829,0.5459,0.6432
