Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,441,14,5,11,0.9597,0.9692,0.9888,0.9789
BBHI,91,5,150,223,0.6695,0.9479,0.3776,0.5401
BBMD,55,22,225,167,0.4733,0.7143,0.1964,0.3081
BBTN,41,24,133,272,0.666,0.6308,0.2356,0.3431
BDMN,15,16,179,259,0.5842,0.4839,0.0773,0.1333
BINA,58,17,211,184,0.5149,0.7733,0.2156,0.3372
BJBR,7,9,237,216,0.4755,0.4375,0.0287,0.0538
BJTM,26,6,267,171,0.4191,0.8125,0.0887,0.16
BNGA,20,14,164,271,0.6205,0.5882,0.1087,0.1835
BNII,43,7,227,194,0.5032,0.86,0.1593,0.2687
BRIS,0,3,163,304,0.6468,0.0,0.0,0.0
BSIM,112,60,158,141,0.5372,0.6512,0.4148,0.5068
BTPN,38,1,191,241,0.5924,0.9744,0.1659,0.2836
BVIC,124,20,144,182,0.6511,0.8611,0.4627,0.6019
INPC,4,4,206,257,0.5541,0.5,0.019,0.0367
MEGA,32,16,195,227,0.5511,0.6667,0.141,0.2327
NISP,0,0,191,278,0.5928,0.0,0.0,0.0
PNBN,167,21,91,190,0.7612,0.8883,0.6473,0.7489
