Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,448,23,0,0,0.9512,0.9512,1.0,0.975
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,447,12,5,7,0.9639,0.9739,0.9889,0.9813
BUMI,441,3,10,17,0.9724,0.9932,0.9778,0.9855
DEWA,188,3,84,196,0.8153,0.9843,0.6912,0.8121
DOID,295,20,54,102,0.8429,0.9365,0.8453,0.8886
ELSA,431,40,0,0,0.9151,0.9151,1.0,0.9557
ENRG,351,6,39,75,0.9045,0.9832,0.9,0.9398
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,391,3,18,59,0.9554,0.9924,0.956,0.9738
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,440,22,3,6,0.9469,0.9524,0.9932,0.9724
MEDC,464,7,0,0,0.9851,0.9851,1.0,0.9925
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,468,3,0,0,0.9936,0.9936,1.0,0.9968
SOCI,457,3,4,7,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,375,14,31,51,0.9045,0.964,0.9236,0.9434
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
