Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,455,16,0,0,0.966,0.966,1.0,0.9827
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,462,3,2,4,0.9894,0.9935,0.9957,0.9946
BUMI,441,8,8,14,0.966,0.9822,0.9822,0.9822
DEWA,188,3,84,196,0.8153,0.9843,0.6912,0.8121
DOID,321,15,49,86,0.8641,0.9554,0.8676,0.9093
ELSA,441,30,0,0,0.9363,0.9363,1.0,0.9671
ENRG,353,6,39,73,0.9045,0.9833,0.9005,0.9401
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,392,3,18,58,0.9554,0.9924,0.9561,0.9739
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,439,23,3,6,0.9448,0.9502,0.9932,0.9712
MEDC,464,7,0,0,0.9851,0.9851,1.0,0.9925
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,468,3,0,0,0.9936,0.9936,1.0,0.9968
SOCI,458,3,4,6,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,375,15,31,50,0.9023,0.9615,0.9236,0.9422
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
