Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,14,18,145,293,0.6532,0.4375,0.0881,0.1466
AKRA,8,6,161,296,0.6454,0.5714,0.0473,0.0874
APEX,42,15,154,260,0.6412,0.7368,0.2143,0.332
ARII,84,35,158,193,0.5894,0.7059,0.3471,0.4654
BBRM,30,24,205,210,0.5117,0.5556,0.1277,0.2076
BIPI,0,2,230,238,0.5064,0.0,0.0,0.0
BULL,10,32,180,247,0.548,0.2381,0.0526,0.0862
BUMI,74,15,139,243,0.673,0.8315,0.3474,0.4901
CNKO,54,3,217,197,0.5329,0.9474,0.1993,0.3293
DEWA,11,15,168,277,0.6115,0.4231,0.0615,0.1073
DOID,20,20,155,276,0.6285,0.5,0.1143,0.186
DSSA,0,0,161,308,0.6567,0.0,0.0,0.0
DWGL,1,0,211,258,0.5511,1.0,0.0047,0.0094
ELSA,27,12,172,258,0.6077,0.6923,0.1357,0.2269
ENRG,43,21,136,271,0.6667,0.6719,0.2402,0.3539
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,60,26,138,247,0.6518,0.6977,0.303,0.4225
IATA,36,3,299,131,0.3561,0.9231,0.1075,0.1925
INDY,70,62,114,225,0.6263,0.5303,0.3804,0.443
INPS,19,6,166,278,0.6333,0.76,0.1027,0.181
ITMA,1,0,166,302,0.6461,1.0,0.006,0.0119
ITMG,20,18,123,309,0.7,0.5263,0.1399,0.221
KKGI,72,27,156,216,0.6115,0.7273,0.3158,0.4404
LEAD,20,13,192,244,0.5629,0.6061,0.0943,0.1633
MBSS,4,7,179,279,0.6034,0.3636,0.0219,0.0412
MEDC,12,10,149,298,0.661,0.5455,0.0745,0.1311
MTFN,153,3,212,103,0.5435,0.9808,0.4192,0.5873
PGAS,25,12,146,287,0.6638,0.6757,0.1462,0.2404
PTBA,68,14,161,228,0.6285,0.8293,0.2969,0.4373
PTRO,6,6,133,326,0.7049,0.5,0.0432,0.0795
RAJA,0,0,129,340,0.7249,0.0,0.0,0.0
RUIS,46,16,167,240,0.6098,0.7419,0.216,0.3345
SOCI,22,32,184,232,0.5404,0.4074,0.1068,0.1692
SURE,0,2,177,290,0.6183,0.0,0.0,0.0
TAMU,22,9,292,147,0.3596,0.7097,0.0701,0.1275
TCPI,33,31,144,263,0.6285,0.5156,0.1864,0.2739
TEBE,55,8,200,208,0.5584,0.873,0.2157,0.3459
TOBA,48,21,128,272,0.6823,0.6957,0.2727,0.3918
TPMA,86,30,175,180,0.5648,0.7414,0.3295,0.4562
WINS,85,37,134,213,0.6354,0.6967,0.3881,0.4985
WOWS,9,12,254,194,0.4328,0.4286,0.0342,0.0634
