Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1424,1692,1558,134.04,38
Resistance,1786,2115,1950,164.28,17
Resistance,2349,2816,2582,233.48,11
Resistance,3569,4055,3812,243.16,15
Resistance,4394,4729,4561,167.27,9
Resistance,5547,5994,5770,223.28,11
Resistance,6230,6641,6436,205.58,7
Resistance,8100,8100,8100,0.0,1
Support,12,42,27,14.78,51
Support,144,205,175,30.69,5
Support,244,268,256,11.76,6
Support,310,331,320,10.3,2
Support,541,541,541,0.0,1
Support,884,1014,949,65.1,2
Support,1145,1183,1164,19.03,6
Support,1212,1244,1228,16.27,5
